ril_id,ASV3,ASV5,ASV6,ASV9,ASV12,ASV17,ASV19,ASV25,ASV31,ASV36,ASV46,ASV54,ASV57,ASV66,ASV67,ASV68,ASV82,ASV90,ASV94,ASV100,ASV102,ASV103,ASV121,ASV122,ASV126,ASV127,ASV138,ASV142,ASV149,ASV166,ASV169,ASV172,ASV175,ASV180,ASV184,ASV192,ASV193,ASV204,ASV210,ASV216,ASV228,ASV231,ASV240,ASV241,ASV262,ASV269,ASV272,ASV289,ASV290,ASV294,ASV295,ASV297,ASV312,ASV323,ASV329,ASV343,ASV355,ASV379,ASV418,ASV434,ASV462,ASV511,ASV534,ASV586,ASV603,ASV693
p205,7.76610771484518,6.57748557431646,6.33759456899657,7.80998326691674,5.22411805111291,6.84892855618281,4.82188933018029,3.81235814100106,5.66738306422276,6.33759456899657,2.18862844012072,4.65077636796785,4.55695371729241,4.6278865029047,4.17014683020435,4.23216910585051,4.55695371729241,4.07180799063023,4.37647517790572,3.92930579997599,3.54549355829749,4.1381062710315,0,3.2178010641391,3.85240331761439,0,2.41941626391476,3.68508752990509,3.68508752990509,0,3.49579023627008,3.44431326239855,3.68508752990509,3.08964236724058,3.49579023627008,2.87314607988976,2.79310475300296,1.75380956273545,3.2178010641391,2.52229646665954,3.7287705133843,0,3.15514433563802,0,3.39093135266762,0,2.30863232868217,0,2.41941626391476,2.94897913450582,3.27784947708754,0,0,1.36829500446139,3.64004047091667,2.87314607988976,0,0,2.87314607988976,3.64004047091667,0,0,2.05772947966776,3.02102441109121,0,1.75380956273545
p206,6.57692926047023,7.14313702602509,7.97992237600199,6.4490622970647,5.1184507484719,7.44078232231648,5.48009472418938,5.02187849474077,5.32683580407532,5.34291540435057,3.81202930898845,4.5262118968881,4.98136377749862,4.66058058298084,4.58146997900098,4.91837507459749,4.40890984305813,4.37803104424811,4.78349388689668,4.02632618220566,3.18541717759523,3.71652443770141,3.71652443770141,3.71652443770141,4.17744083442419,4.17744083442419,3.1122536515924,3.61424620846482,3.66629149572925,3.66629149572925,3.71652443770141,3.18541717759523,0,3.3849745013941,3.56025289072207,2.77567284561532,3.76506701914658,2.05272814948494,2.45901856866265,0,3.66629149572925,3.1122536515924,2.77567284561532,0,2.20123877234882,0,2.57246967541898,3.25504875089991,0,0,3.0351806319436,3.71652443770141,0,2.33587851824499,0,0,2.20123877234882,2.45901856866265,2.57246967541898,0,0,2.20123877234882,3.0351806319436,2.45901856866265,0,0
p207,8.24340813019762,9.50219597907219,7.03252001907016,4.31124581213144,6.33838934158653,0,6.8446671819411,3.68764816469572,6.02998865727617,3.13535185289489,0,5.14674601929662,5.85716522182855,5.24356420690475,4.93112500249627,5.27444498866576,0,4.63055060760194,0,4.31124581213144,2.83744698721404,4.18690576382621,3.32429123225584,4.34072569034149,4.53176493503438,4.01470649881503,3.38214561772147,2.83744698721404,3.49132742860993,0,0,3.97765528321086,3.54296841205653,3.90056990623916,4.25041491930268,4.05082994434013,3.59282461849413,3.776621794518,3.26401951685936,2.9940751660429,0,3.59282461849413,0,0,1.7903618511443,0,3.64101530594066,3.13535185289489,1.95190571179896,0,0,4.08607095012367,3.20111962304591,0,4.28115095698312,0,3.68764816469572,3.90056990623916,0,0,3.43776912394481,2.9940751660429,0,0,2.2291339992155,0
p208,6.13044914529154,8.62419195844281,5.17370070378291,2.36483668635665,5.5787109071493,0,5.80978329334445,3.78974893357061,5.17370070378291,3.4839678399828,3.90325660114078,5.04768982619634,4.75690243969895,3.57814123486514,4.46806684346531,3.4839678399828,0,4.13781281628856,3.70879108757401,3.57814123486514,3.09544678548304,4.16841194934674,0,3.74983781188069,4.46806684346531,4.28470408430186,2.73560391870798,2.56209839236942,2.65145791250806,0,0,0,3.70879108757401,2.00678916566264,3.43447087419371,2.89046504769541,2.56209839236942,2.00678916566264,0,3.57814123486514,2.46683639985905,3.33007126819598,3.43447087419371,3.27489456104386,0,3.09544678548304,3.53182280912758,3.62301872698323,0,2.65145791250806,2.96207751685625,3.33007126819598,0,0,3.03030276016353,1.70670777307353,2.36483668635665,2.96207751685625,0,0,2.73560391870798,1.52946738812945,0,0,0,0
p209,9.13561129241557,6.98770310744234,8.15676762910859,7.03232494863213,6.53957105386281,8.29289484508237,6.13822501762615,5.66771864641983,6.01022371900933,5.658258937484,3.76814035156751,5.12461942366643,5.1382930644644,4.98024397598964,5.039738852507,4.13842914851307,4.80272567498104,4.91818968242006,4.02524075465005,4.67721040453687,4.24337960937336,4.53972561453157,4.41046191650597,4.47654101502321,4.08294470863724,3.7325252365859,5.52928137301536,4.86983206495639,4.02524075465005,3.83683673918495,3.49812361394814,3.65854363310226,3.49812361394814,4.19185851088563,3.16565824774927,4.08294470863724,3.96513228843403,2.49854774890368,3.62007974354052,3.2181065913148,3.05466966542127,3.45506774646283,3.45506774646283,3.36489813385292,3.99549954389889,3.80289739372682,2.31808858486099,0,2.93442559146439,2.49854774890368,2.93442559146439,0,3.11123100718329,2.99580001147072,0,3.31760792683859,3.36489813385292,2.87032375313186,3.41068728478588,3.58056220743058,0,0,3.2687149034383,1.99640075894593,0,0
p210,8.00745639775792,8.76581886262888,6.01510210026703,6.06872344872019,6.45842753899518,6.3757487209585,4.76141554516097,6.97142624736528,5.55834261365891,4.2134266400789,4.82512103986618,5.14101230952707,5.34311771671854,4.84574605219443,4.6947665097259,6.12042304002474,6.99007501297121,4.2755544329059,4.08051844738054,4.36400061499115,3.89506516021173,4.57634937041645,5.34311771671854,3.77115255652625,4.30564301129987,4.42008911846206,3.58741397971525,2.98891650087098,3.77115255652625,4.00917164589825,0,3.85493197312431,0,3.63558857379112,3.48595249488999,4.14850252269919,3.37681200196049,0,2.91276716194519,0,0,0,2.91276716194519,0,3.58741397971525,4.14850252269919,3.81365032858908,3.81365032858908,3.31898081083703,2.65675318378917,3.53757499819137,2.98891650087098,2.98891650087098,0,0,2.74723392962003,2.45675251844142,2.74723392962003,0,0,2.65675318378917,0,2.83237338209444,1.78616959216698,0,1.94753258010586
p211,8.59851904684439,7.5740127209218,6.95556625919442,6.28649944371935,6.22803472823257,8.36461352768278,5.39872286753117,6.24498208613553,5.67367759453336,4.95954511742968,4.66435988720883,5.48684659787725,5.07777130312505,4.85303738176711,4.68933878331326,4.55988086075234,4.71389254390499,4.5046597969968,5.27217001552835,5.20447151166081,3.5935623200049,4.53253452016811,5.15152781390965,3.79110808121548,4.25984957373463,4.66435988720883,4.3250554405347,3.16537435781633,4.11986928531006,4.68933878331326,4.53253452016811,3.53963964305884,3.79110808121548,4.15615811035132,3.48362301574374,3.36460965080949,3.69571376278127,2.31783316209482,2.65865423484701,2.44060621868138,3.79110808121548,4.00518195664783,2.18363208520432,3.16537435781633,3.74419923990548,4.2928208666195,2.55374576675299,3.30120657343693,3.92332353736399,2.55374576675299,3.42534321821985,3.48362301574374,0,3.09234049160971,0,0,3.01541134846275,2.93414789152815,0,0,0,0,3.53963964305884,0,0,0
p212,8.20113647911009,8.5961443328721,6.26149349999134,6.06919675370724,6.74388230463855,4.64003407915884,4.58877659938393,6.15979231025493,5.73387820273961,4.36332847727381,4.64003407915884,4.16762121268975,5.26393005728263,4.76073514496165,4.61463296803063,4.13225753611112,4.20213874610444,4.36332847727381,4.09600518792402,4.91436301244449,2.73489234990716,5.1088337766224,5.31213255337038,4.48045187621854,4.33249916960261,0,5.12691335156977,4.23584968313199,4.26879086125436,4.36332847727381,3.76761976612926,3.62224938911089,0,3.72077186006317,3.85698482324691,3.62224938911089,3.89967374868897,3.14288687986903,2.63736265426531,3.62224938911089,3.34175540998352,0,3.27846361155658,3.46057263027609,2.5327585796937,4.20213874610444,3.14288687986903,0,3.27846361155658,2.41997300883437,2.91215453956995,3.94113573898835,3.67235148071251,2.29761670268927,0,0,0,3.27846361155658,0,3.34175540998352,2.82624423270239,0,3.57034455223239,1.85238485922554,2.16391347215134,2.29761670268927
p213,7.33636270486826,9.07926937570855,6.62272279757245,6.19736862385573,6.10271891367009,6.66308442446174,5.31585367503066,5.98736070998094,5.80699473155111,3.74698120961831,4.29567373290211,6.10271891367009,5.27012947177776,4.4264836172541,4.75995796752235,3.60686826845564,4.87133353801332,4.87133353801332,4.22553426886071,4.74332134777204,4.4264836172541,4.04725692004041,4.4264836172541,4.40548912518353,4.60283460995619,4.7094612634006,4.22553426886071,3.41011311787218,3.27773984404401,4.52710408088625,3.60686826845564,3.41011311787218,3.025928179888,3.87468300668794,2.72067218520872,3.87468300668794,3.07992958265276,2.91145481560505,3.23077143804138,3.71320792546062,3.96354881889535,3.60686826845564,4.15180980238705,3.27773984404401,2.72067218520872,2.57784879005371,3.45166946427887,2.24118908437462,2.7871094055681,2.85062135736795,3.49206223236214,0,3.23077143804138,2.24118908437462,2.7871094055681,3.32322723503899,2.7871094055681,3.41011311787218,3.64319272917858,2.65102716364519,2.85062135736795,0,2.7871094055681,2.7871094055681,2.03792856105894,2.03792856105894
p215,8.17207431032589,9.28839036839281,5.06548079208461,6.94456731574079,7.15935825691729,7.15935825691729,3.6613554007727,5.41503749927884,5.78202644466534,4.81707398427739,3.95209133822298,5.7349774626668,5.54073552715665,4.3011990663728,4.4716063325834,0,4.79888820622919,4.74291360265434,4.07808294547722,4.81707398427739,3.29685141353689,4.24857085572443,5.09559072213374,3.84980706368187,4.64450810801487,4.70435306899412,4.83503337370456,3.07300685816653,3.62052014210521,4.40102411812966,3.01116406939277,4.0164620723492,3.01116406939277,3.39696753169064,3.44453530621272,3.62052014210521,0,2.73329305495545,3.18926617553098,0,0,3.49058463361074,3.49058463361074,3.29685141353689,3.84980706368187,0,3.91879587355778,3.77735284306814,1.935406473492,2.65457535117676,3.13230729210413,2.87890818308264,3.39696753169064,2.06280078701607,3.84980706368187,2.80793700600372,2.73329305495545,3.70106656804923,2.38881997854253,2.17985287637192,2.48295034696452,0,2.57131343920931,2.28811660355928,2.17985287637192,1.935406473492
