id,ril_code,seed_weight,seed_size,seed_length,seed_circularity,seed_yield,fresh_gmax,fresh_t50,fresh_u7525,fresh_auc,strat_gmax,strat_t50,strat_u7525,strat_auc,35C_gmax,35C_t50,35C_u7525,35C_auc,nacl5_gmax,nacl5_t50,nacl5_u7525,nacl5_auc,36C_gmax,36C_t50,36C_u7525,36C_auc,36C_25C_gmax,36C_ga_gmax,36C_dead_gmax,peg5_gmax,peg5_t50,peg5_u7525,peg5_auc,12C_gmax,12C_t50,12C_u7525,12C_auc,h2o2_gmax,h2o2_t50,h2o2_u7525,h2o2_auc,peg3_gmax,peg3_t50,peg3_u7525,peg3_auc,nacl3_gmax,nacl3_t50,nacl3_u7525,nacl3_auc,fresh_shoot,dry_shoot,fresh_root,dry_root,hypocotyl_length
205,1,1.95264881,3.817360772,2.775942683,0.80783385,9377.5,0.956296296,36.1151123,13.15467548,153.8627167,0.969773315,33.78454208,9.875515938,81.61750031,0.837498182,46.45976257,32.12077332,120.9714127,0.922302738,64.51856995,26.98986816,119.1672974,0.285185185,46.83107376,47.96216965,39.37527847,0.07037037,0.603703704,0.010514055,0.896296296,83.35971832,45.38496399,97.09070587,0.951851852,139.6188202,42.45593643,147.9945984,0.651851852,101.4064941,87.6289444,58.3898468,0.97037037,44.34106445,16.84324837,146.214798,0.955555556,50.76880264,8.008168221,141.1885834,35.05,2.34,16.24,1.23,3.43
206,2,1.389707792,3.368161289,2.706923842,0.786560982,2801,1,57.36685562,16.47646332,140.3504791,1,50.2097435,12.16904163,67.83192444,0.977938808,65.25592804,24.6342411,128.4633942,0.910942761,143.1275177,46.20020676,50.78647995,0.422222222,81.82610321,25.59562111,48.22023392,0.499074074,0.068287037,0.010416667,0.524074074,193.5460205,32.61445618,7.308891773,1,172.7336426,49.49093246,122.7705002,0.385185185,242.2503662,87.64193726,4.871123791,0.367592593,199.9006805,75.68466949,7.546522141,0.964361702,90.24796295,28.44305992,102.5609665,22.12,2.05,11.33,1.07,2.05
207,3,1.328243289,3.27374819,2.629564881,0.796346515,4094.5,0.996296296,36.58980942,7.793540478,161.4281769,0.996296296,36.54244614,7.465872288,81.89820099,0.996296296,40.46208572,8.520176888,157.9317627,0.892592593,94.67897797,32.67616272,91.69033051,0.885185185,57.90270996,20.00045395,124.9904709,0.062962963,0.011111111,0.037037037,0.677777778,175.5806274,51.81171799,19.71806145,0.974074074,151.3974304,35.07582474,141.2897339,0.17037037,238.055954,86.2934494,3.833893061,0.637037037,126.8510132,53.14561081,44.42642212,0.97037037,53.39081192,15.11013031,139.9773407,26.32,1.66,16.44,1.02,2.94
208,4,1.883773603,3.702410194,2.813482046,0.796432734,5677,1,72.1627655,15.12341022,126.2646866,0.996296296,68.69776917,18.76081276,49.42227173,0.907407407,100.3241806,29.69754982,87.7596817,0.796296296,172.1605835,54.47210693,26.6150074,0.685185185,108.3721924,29.00530434,61.33644485,0.037037037,0.266666667,0.007407407,0.538808374,201.8244171,23.24088097,4.093608856,0.937037037,285.1013184,86.00512695,39.52192688,0.977777778,157.8089447,33.89732361,40.78396606,0.262962963,215.4418945,49.93320847,4.837918758,0.933333333,105.72892,29.35112572,85.28611755,36.02,2.7,17.45,1.36,4.02
209,5,1.66650974,3.950032914,2.879289389,0.795343488,4912.5,0.955555556,45.27363205,13.64257717,143.1107025,0.988804714,37.26736069,7.505617619,81.17539978,0.951851852,77.35702515,20.92199898,114.6518631,0.955555556,82.92142487,22.85637093,109.3431473,0.244444444,99.93386841,24.05410004,22.67730141,0.07037037,0.422222222,0.251767677,0.762962963,159.0702057,58.17689896,32.52864456,0.725925926,161.3337555,48.73900223,98.77770233,0.977777778,104.0898438,26.96184349,91.15714264,0.944444444,89.6316452,34.09449387,99.5306778,0.97037037,61.72529602,11.29804516,133.2130737,36.23,2.21,12.11,0.99,3.05
210,6,2.098557647,4.465740639,3.039355636,0.804653525,4678,0.996296296,73.6598587,18.66201973,123.9429321,0.988888889,67.89517975,15.02453613,49.766922,0.499260723,95.47771454,26.34323692,51.05373001,0.277777778,180.5833282,50.27907181,10.56843948,0.011111111,NA,NA,NA,0.118518519,0.807407407,0.051851852,0.540740741,189.0656281,41.47175217,10.78508091,0.966666667,390.3227844,85.47350311,4.629771709,0.855555556,163.0712433,46.57321167,32.48742676,0.296296296,139.255127,45.34312439,11.2436552,0.991111111,98.15799713,19.6854248,99.09703064,46.12,2.72,18.5,1.38,2.74
211,7,1.709546049,3.890533275,2.932802796,0.781160951,1245,1,41.39250565,8.599116325,157.1803436,0.996296296,41.45804596,8.182033539,77.39105225,0.983333333,55.22184753,20.24556923,137.9137268,0.895758308,88.38187408,22.21961784,99.3376236,0.7,65.77744293,27.89375687,87.43391418,0.17,0.09,0.036296296,0.75952381,167.1230316,44.31245804,28.010849,0.96,160.0935974,34.79934692,130.896759,0.016666667,NA,NA,NA,0.683333333,141.5593109,55.05162048,38.36634445,0.85,64.25084686,20.57377434,111.8193359,41.08,2.49,20.25,1.03,3.29
212,8,2.446725146,4.243537925,2.883200526,0.820742458,3425.5,0.97037037,39.87083817,9.458125114,153.7392426,0.985185185,39.34135818,5.904968262,78.88179779,0.936868687,47.237854,16.4450016,137.180481,0.977693603,72.70459747,15.02809143,122.3146286,0.616919192,52.56625748,19.48541069,87.81484222,0.185606061,0.134175084,0.048484848,0.796537842,134.6449585,47.8901062,51.1078949,0.97037037,216.3510895,74.38709259,78.97364807,0.937962963,114.4413376,38.15342712,76.70823669,0.957407407,81.09601593,30.44564629,109.8427963,0.97037037,61.52154922,13.95241547,132.9739227,37.31,2.68,22.26,1.71,2.27
213,9,1.764285714,3.978826046,2.810431719,0.815467536,975.5,0.992592593,65.41016388,13.25609875,132.5781555,1,56.50395584,16.09532166,61.49345779,0.232286634,88.21313477,24.23664856,33.34701157,0.710185185,142.8575897,31.56652832,42.39404297,0.008333333,NA,NA,57.71,0,0.780701754,0.210964912,0.373148148,197.3587646,25.1045742,3.617584229,1,260.9066467,43.86875534,45.02017593,0.275,184.2903442,53.82950592,7.220125675,0.516666667,165.0510559,59.38967896,20.78019333,NA,NA,NA,NA,32.59,2.23,15.05,0.98,3.94
214,10,1.579429945,3.556232065,2.818739533,0.774253666,5333.5,0.988969404,60.66723251,21.65774536,134.8928986,0.977777778,60.2909584,16.64256096,56.76192856,0.775442834,130.9617157,48.16110611,49.87080383,0.529150027,176.3960419,62.17534256,17.16556358,0.011279461,NA,NA,NA,0.85513468,0.122474747,0,0.622222222,177.4276886,52.52894211,17.51314926,0.962962963,366.0741882,100.9869766,7.134343624,0.233333333,213.6339874,75.5918045,3.117763758,0.311111111,192.9143524,82.43672943,8.309247017,0.744444444,100.2253799,34.08682632,69.97731781,22.93,1.5,7.49,1.02,2.41
