id,dry_shoot,dry_root
k205,2.34,1.23
k206,2.05,1.07
k207,1.66,1.02
k208,2.7,1.36
k209,2.21,0.99
k210,2.72,1.38
k211,2.49,1.03
k212,2.68,1.71
k213,2.23,0.98
k214,1.5,1.02
k215,2.51,1.64
k216,4.04,1.89
k217,2.56,1.14
k218,2.44,0.92
k219,2.07,1.31
k221,1.76,0.84
k222,1.93,1.04
k223,1.77,0.96
k224,1.35,0.86
k225,1.94,0.83
k226,1.1,0.73
k227,1.63,1.02
k228,1.84,1
k229,2.35,1.54
k231,1.51,0.81
k232,2.38,1.12
k233,2.59,1.38
k234,2.62,1.26
k235,5.27,1.96
k236,1.75,1
k237,2.23,1.11
k238,2.42,1.03
k239,2.25,1.12
k240,2.16,1.01
k241,2,0.98
k242,2.34,1.24
k243,2.4,1.36
k245,1.69,0.68
k246,2.58,1.41
k247,1.73,0.88
k248,1.76,0.91
k249,2.34,1.05
k250,1.47,0.8
k252,2.65,1.34
k253,2.2,1.33
k254,1.61,0.78
k255,2.05,1.26
k256,1.93,1.01
k257,2.24,1.28
k258,2.39,1.4
k259,1.93,1.1
k260,1.6,0.76
k261,2.46,1.51
k262,1.92,0.87
k263,1.97,0.93
k264,2.37,1.51
k265,1.93,0.92
k266,2.31,1.3
k267,1.84,1.38
k268,1.91,1.23
k269,3.17,2.03
k270,2.24,1.36
k271,1.94,1.44
k272,2.47,0.92
k273,1.84,0.9
k274,2.25,1.17
k275,2.59,1.46
k276,2.04,1.23
k277,1.86,0.76
k278,1.83,0.93
k279,2.7,1.29
k280,NA,NA
k281,2.92,1.99
k282,2.05,0.97
k283,2.94,1.09
k284,2.33,0.99
k285,2.79,1.7
k286,3.17,NA
k287,2.34,1.42
k288,2.91,1.86
k289,1.89,1.04
k290,2.52,1.71
k291,2.03,1.41
k292,1.72,1.04
k293,1.81,1.03
k294,1.92,1
k295,2.42,1.05
k297,1.7,0.97
k298,NA,1.2
k299,2.6,1.57
k300,2.96,1.56
k301,2.5,1.07
k302,2.4,1.14
k303,3.39,1.75
k304,2.04,0.98
k305,2.51,1.32
k306,2.71,1.43
k307,2.2,1.21
k220,NA,NA
k230,NA,NA
k244,NA,NA
k251,NA,NA
k296,NA,NA
k308,NA,NA
