RIL	Color	Leaves	Date	Harvest_Day	Rhizosphere	Soil_Before	PDW
p205	P	3.5	4/20/19	3.00	3.37	241.79	0.2789
p206	P	6	4/17/19	0.00	3.5	237.62	0.2238
p207	P	5.5	4/18/19	1.00	3.64	235.63	0.2702
p208	P	5.5	4/18/19	1.00	3.84	237.79	0.2329
p209	P	4.5	4/20/19	3.00	3.635	241.92	0.3355
p210	P	5.5	4/18/19	1.00	3.241	236.1	0.2928
p211	P	5	4/19/19	2.00	3.981	242.46	0.3721
p212	P	5.5	4/18/19	1.00	4.086	235.29	0.273
p213	P	5.5	4/18/19	1.00	3.644	234.44	0.3313
p215	P	5.5	4/19/19	2.00	3.035	235.84	0.309
p216	P	4.5	4/17/19	0.00	3.84	239.51	0.2689
p217	P	4	5/7/19	20.00	4.03	247.44	0.5181
p218	P	4.5	4/20/19	3.00	3.541	240.72	0.3824
p219	P	5	4/19/19	2.00	3.588	237.58	0.2987
p222	P	5.5	4/18/19	1.00	3.005	234.5	0.2893
p223	P	5	4/19/19	2.00	3.984	241.82	0.2366
p225	P	6.5	4/17/19	0.00	3.7	235.33	0.2856
p226	P	5	4/20/19	3.00	4.115	245.14	0.3151
p227	P	5.5	4/18/19	1.00	3.997	238.56	0.2264
p228	P	4.5	4/20/19	3.00	3.002	241.56	0.3892
p229	P	5.5	4/18/19	1.00	3.955	236.76	0.282
p230	P	5	4/20/19	3.00	3.652	240.1	0.3362
p231	P	5.5	4/18/19	1.00	2.414	234.53	0.2135
p233	P	5	4/20/19	3.00	3.88	237.75	0.4428
p234	P	4.5	4/19/19	2.00	3.007	235.38	0.4335
p235	P	5.5	4/18/19	1.00	3.845	235.62	0.3239
p236	P	5.5	4/18/19	1.00	2.6	234.16	0.2797
p237	P	0.5	5/7/19	20.00	1.93	240.23	0.4099
p238	P	5	4/20/19	3.00	3.733	241.46	0.3974
p240	P	5.5	4/18/19	1.00	3.645	236.82	0.282
p241	P	5	4/20/19	3.00	3.512	241.11	0.3167
p242	P	5	4/19/19	2.00	3.627	243.53	0.3267
p243	P	6.5	4/17/19	0.00	3.5	234.57	0.2731
p244	P	5.5	4/18/19	1.00	3.259	235.89	0.2835
p245	P	5.5	4/18/19	1.00	3.923	238.89	0.2777
p246	P	4.5	4/20/19	3.00	3.228	243.26	0.2409
p247	P	5.5	4/18/19	1.00	3.272	238.77	0.3146
p248	P	5.5	4/18/19	1.00	3.042	238.51	0.2177
p249	P	4.5	5/7/19	20.00	2.739	246.54	0.5532
p250	P	5.5	4/18/19	1.00	3.288	236.23	0.3578
p252	P	5.5	4/18/19	1.00	3.982	236.37	0.3112
p253	P	4.5	4/20/19	3.00	3.694	242.96	0.3027
p254	P	5.5	4/18/19	1.00	3.546	240.09	0.2597
p255	P	4.5	4/19/19	2.00	4.213	241.73	0.2736
p256	P	5.5	4/18/19	1.00	3.732	235.53	0.214
p257	P	5.5	4/17/19	0.00	4.6	238.2	0.2493
p258	P	5.5	4/18/19	1.00	3.844	236.06	0.2516
p259	P	4.5	4/20/19	3.00	3.253	241.11	0.3385
p260	P	5.5	4/18/19	1.00	2.36	235.86	0.3514
p261	P	4.5	4/20/19	3.00	3.275	240.66	0.3368
p262	P	5.5	4/18/19	1.00	3.824	234.29	0.2379
p263	P	4.5	4/20/19	3.00	3.881	240.16	0.3637
p264	P	5	4/19/19	2.00	3.966	240.35	0.3238
p265	P	5.5	4/18/19	1.00	3.532	237.3	0.2667
p266	P	5.5	4/18/19	1.00	3.668	235.84	0.2702
p267	P	4	4/19/19	2.00	3.868	237.39	0.3068
p268	P	4.5	4/20/19	3.00	3.51	241.11	0.3788
p270	P	4.5	4/20/19	3.00	2.929	236.87	0.4037
p271	P	5.5	4/20/19	3.00	4.079	240.82	0.3824
p272	P	5.5	4/18/19	1.00	3.517	235.3	0.2384
p273	P	5.5	4/18/19	1.00	3.507	236.77	0.3325
p274	P	5	4/20/19	3.00	2.716	239.95	0.3911
p275	P	4.5	4/17/19	0.00	4.3	236.73	0.3465
p277	P	5.5	4/19/19	2.00	3.637	243.98	0.386
p278	P	6.5	4/17/19	0.00	3.545	237.55	0.262
p280	P	5	4/20/19	3.00	4.319	242.02	0.3642
p281	P	5.5	4/18/19	1.00	3.73	239.74	0.2793
p282	P	5.5	4/18/19	1.00	2.506	237.52	0.3324
p283	P	5	4/19/19	2.00	3.0021	239.83	0.3418
p284	P	6	4/17/19	0.00	3.58	237.27	0.3688
p285	P	5.5	4/17/19	0.00	3.524	238.54	0.3526
p286	P	5.5	4/18/19	1.00	3.878	237.58	0.3201
p287	P	4.5	4/19/19	2.00	4.037	235.17	0.3431
p288	P	4.5	4/20/19	3.00	3.958	242.62	0.3303
p289	P	5.5	4/18/19	1.00	2.691	235.85	0.3153
p290	P	5	4/19/19	2.00	3.04	239.36	0.3612
p291	P	6.5	4/17/19	0.00	4	237.5	0.2786
p292	P	5.5	4/18/19	1.00	3.994	237.43	0.3445
p293	P	4.5	4/20/19	3.00	4.45	242.81	0.3607
p294	P	5	4/19/19	2.00	3.679	241.49	0.3157
p295	P	5.5	4/18/19	1.00	3.638	235.55	0.2891
p297	P	5.5	4/18/19	1.00	2.68	234.57	0.3156
p298	P	5.5	4/18/19	1.00	3.006	236.54	0.2974
p299	P	5	4/19/19	2.00	4.332	240.58	0.3215
p300	P	5.5	4/18/19	1.00	3	237.38	0.2884
p301	P	6.5	4/17/19	0.00	3.75	240.18	0.2583
p302	P	4	4/20/19	3.00	3.038	242.25	0.3891
p303	P	5.5	4/17/19	0.00	3.42	238.19	0.2191
p304	P	4.5	4/20/19	3.00	2.876	241.29	0.3909
p305	P	5	4/20/19	3.00	3.963	241.95	0.3762
p306	P	5.5	4/18/19	1.00	2.836	234.16	0.3279
p307	P	5.5	4/18/19	1.00	3.842	234.84	0.3358
p276.1	P	5.5	4/17/19	0.00	2.901	236.67	0.2737
p276.2	P	6.5	4/17/19	0.00	3.086	236.98	0.2914
p308.1	P	4.5	4/18/19	1.00	2.505	236.69	0.3025
p308.2	P	4.5	4/20/19	3.00	3.028	244.17	0.3164
y205	Y	5	4/19/19	2.00	3.475	238.81	0.4297
y206	Y	5.5	4/18/19	1.00	3.805	236.04	0.2516
y207	Y	6	4/17/19	0.00	3.357	235.6	0.2484
y208	Y	5.5	4/19/19	2.00	3.835	244.85	0.2488
y209	Y	5	4/19/19	2.00	3.983	238.43	0.3428
y210	Y	5.5	4/19/19	2.00	4.254	240.11	0.4481
y211	Y	5.5	4/18/19	1.00	3.565	235.92	0.2743
y212	Y	4.5	4/20/19	3.00	4.307	238.19	0.4793
y213	Y	5	4/20/19	3.00	4.278	238.96	0.4167
y215	Y	7.5	4/17/19	0.00	3.9	236.27	0.3274
y216	Y	5	4/20/19	3.00	4.446	239.5	0.4574
y217	Y	4	4/20/19	3.00	3.26	240.03	0.3629
y218	Y	6.5	4/17/19	0.00	3.21	236.83	0.2817
