lodindex	lodcolumn	chr	pos	lod	ci_lo	ci_hi	asv	kingdom	phylum	class	order	family	genus	species	effect	heritability	allele
1	ASV3	1	76.31188929	3.86414231458037	0.23412002	80.01512808	3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	-0.0127055746007373	1.93914454420271e-07	wild
2	ASV5	6	38.44002026	2.80351963802119	1.98733909	40.63585747	5	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0.0311834405444509	0.34178965041785	modern
5	ASV12	6	1.07552117	2.91411879275621	0.36965459	44.93654268	12	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	0.0252659436207423	0.147164228692025	modern
5	ASV12	8	58.21634621	2.83608838780348	1.66329885	61.06106215	12	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	0.0249823041214312	0.147164228692025	modern
7	ASV19	1	87.662585	3.14887772084314	0.23412002	90.48919441	19	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	diazotrophicus	-0.049597171914962	0.546384834414957	wild
7	ASV19	9	0.47728159	3.08618281138229	0.36313003	66.28259148	19	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	diazotrophicus	-0.0492138733758914	0.546384834414957	wild
9	ASV31	9	65.24793485	2.78265815601349	4.39941717	68.22003382	31	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	NA	0.0210862712896749	0.110400115547523	modern
9	ASV31	11	53.36458805	3.77799967742753	53.05537989	53.8194769	31	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	NA	0.0329346908459861	0.110400115547523	modern
12	ASV54	11	53.60949521	6.00181276600433	53.30266632	53.61160445	54	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	0.0546733611244003	0.0100726648733323	modern
13	ASV57	11	53.36100313	3.0332565152144	2.42689364	53.97873717	57	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	NA	0.0293477611274839	1.37573809197945e-08	modern
15	ASV67	3	0.92828378	2.82170371748655	0.28500489	50.54339191	67	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA	0.0197546604963238	0.484911190726557	modern
