"chr"	"pos"
"1"	"ch01"	"234120.02"
"2"	"ch01"	"409960.36"
"3"	"ch01"	"414006.39"
"4"	"ch01"	"418097.61"
"5"	"ch01"	"435507.19"
"6"	"ch01"	"439892.54"
"7"	"ch01"	"496249.21"
"8"	"ch01"	"500925.72"
"9"	"ch01"	"505563.05"
"10"	"ch01"	"510176.61"
"11"	"ch01"	"514790.39"
"12"	"ch01"	"519312.5"
"13"	"ch01"	"576051.68"
"14"	"ch01"	"580949.38"
"15"	"ch01"	"585848.06"
"16"	"ch01"	"590732.81"
"17"	"ch01"	"595616.9"
"18"	"ch01"	"740565.56"
"19"	"ch01"	"743951.8"
"20"	"ch01"	"1010672.02"
"21"	"ch01"	"1015548.05"
"22"	"ch01"	"1020450.66"
"23"	"ch01"	"1025354.6"
"24"	"ch01"	"1030258.6"
"25"	"ch01"	"1035163.71"
"26"	"ch01"	"1061635.05"
"27"	"ch01"	"1067166.71"
"28"	"ch01"	"1106899.03"
"29"	"ch01"	"1112939.43"
"30"	"ch01"	"1149064.01"
"31"	"ch01"	"1155049.38"
"32"	"ch01"	"1328118.27"
"33"	"ch01"	"1333339.15"
"34"	"ch01"	"1418260.88"
"35"	"ch01"	"1424316.88"
"36"	"ch01"	"1430372.85"
"37"	"ch01"	"1462571.19"
"38"	"ch01"	"1467788.36"
"39"	"ch01"	"1483658.22"
"40"	"ch01"	"1488957.31"
"41"	"ch01"	"1516266.95"
"42"	"ch01"	"1521707.29"
"43"	"ch01"	"1601397.1"
"44"	"ch01"	"1607018.22"
"45"	"ch01"	"1618131.72"
"46"	"ch01"	"1624138"
"47"	"ch01"	"1630337.11"
"48"	"ch01"	"1648423.32"
"49"	"ch01"	"1654350.95"
"50"	"ch01"	"1690179.81"
"51"	"ch01"	"1696002.57"
"52"	"ch01"	"1789216.46"
"53"	"ch01"	"1794621.95"
"54"	"ch01"	"1873296.58"
"55"	"ch01"	"1878389.01"
"56"	"ch01"	"1883479.36"
"57"	"ch01"	"1893659.36"
"58"	"ch01"	"1898349.99"
"59"	"ch01"	"1907734.08"
"60"	"ch01"	"1911890.53"
"61"	"ch01"	"1916051.81"
"62"	"ch01"	"1920214.06"
"63"	"ch01"	"1924345.61"
"64"	"ch01"	"1928869.33"
"65"	"ch01"	"1941861.61"
"66"	"ch01"	"1946064.06"
"67"	"ch01"	"2006670.92"
"68"	"ch01"	"2010845.06"
"69"	"ch01"	"2132089.35"
"70"	"ch01"	"2134778.65"
"71"	"ch01"	"2228315.6"
"72"	"ch01"	"2231508.7"
"73"	"ch01"	"2312688.25"
"74"	"ch01"	"2315276.75"
"75"	"ch01"	"2476374.42"
"76"	"ch01"	"2480658.06"
"77"	"ch01"	"2501656.01"
"78"	"ch01"	"2505934.03"
"79"	"ch01"	"2518750.53"
"80"	"ch01"	"2522966.78"
"81"	"ch01"	"2589304.3"
"82"	"ch01"	"2593951.3"
"83"	"ch01"	"2598597.03"
"84"	"ch01"	"2603097.44"
"85"	"ch01"	"2607602.39"
"86"	"ch01"	"2616826"
"87"	"ch01"	"2621446.87"
"88"	"ch01"	"2640118.12"
"89"	"ch01"	"2644950.88"
"90"	"ch01"	"2813432.97"
"91"	"ch01"	"2818440.47"
"92"	"ch01"	"2823454.46"
"93"	"ch01"	"2877740.05"
"94"	"ch01"	"2881599.43"
"95"	"ch01"	"3141290.91"
"96"	"ch01"	"3147171.85"
"97"	"ch01"	"3295103.6"
"98"	"ch01"	"3300993.58"
"99"	"ch01"	"3312713.27"
"100"	"ch01"	"3318539.93"
"101"	"ch01"	"3397334.01"
"102"	"ch01"	"3402546.34"
"103"	"ch01"	"3407742.97"
"104"	"ch01"	"3412940.68"
"105"	"ch01"	"3418138.37"
"106"	"ch01"	"3423336.54"
"107"	"ch01"	"3428537.96"
"108"	"ch01"	"3433737.6"
"109"	"ch01"	"3438653.38"
"110"	"ch01"	"3443566.3"
"111"	"ch01"	"3448462.4"
"112"	"ch01"	"3453110.73"
"113"	"ch01"	"3462413.42"
"114"	"ch01"	"3467065.01"
"115"	"ch01"	"3472556.86"
"116"	"ch01"	"3483549.81"
"117"	"ch01"	"3489044.35"
"118"	"ch01"	"3511035.89"
"119"	"ch01"	"3516532.85"
"120"	"ch01"	"3942665.75"
"121"	"ch01"	"3953329.63"
"122"	"ch01"	"4142541.93"
"123"	"ch01"	"4157270.04"
"124"	"ch01"	"4253832.17"
"125"	"ch01"	"4271153.6"
"126"	"ch01"	"4323132.11"
"127"	"ch01"	"4340506.43"
"128"	"ch01"	"4409993.37"
"129"	"ch01"	"4426773.75"
"130"	"ch01"	"4510668.03"
"131"	"ch01"	"4527443.25"
"132"	"ch01"	"4544601.67"
"133"	"ch01"	"4562357.95"
"134"	"ch01"	"4720381.36"
"135"	"ch01"	"4738023.41"
"136"	"ch01"	"4847120.9"
"137"	"ch01"	"4866721.87"
"138"	"ch01"	"5042985.59"
"139"	"ch01"	"5062499.11"
"140"	"ch01"	"5079915.21"
"141"	"ch01"	"5097295.4"
"142"	"ch01"	"5115031.94"
"143"	"ch01"	"5241843.23"
"144"	"ch01"	"5260519.46"
"145"	"ch01"	"5641293.42"
"146"	"ch01"	"5657685.98"
"147"	"ch01"	"5741708.41"
"148"	"ch01"	"5762836.09"
"149"	"ch01"	"6037625.41"
"150"	"ch01"	"6078605.59"
"151"	"ch01"	"6463695"
"152"	"ch01"	"6507534.59"
"153"	"ch01"	"60404522.51"
"154"	"ch01"	"60463446.45"
"155"	"ch01"	"63797724.45"
"156"	"ch01"	"63865921.61"
"157"	"ch01"	"66351966.96"
"158"	"ch01"	"66399743.69"
"159"	"ch01"	"67274339.47"
"160"	"ch01"	"67300678.83"
"161"	"ch01"	"67326642.13"
"162"	"ch01"	"67352614.61"
"163"	"ch01"	"68744904.98"
"164"	"ch01"	"68756750.27"
"165"	"ch01"	"68792154.47"
"166"	"ch01"	"68803875.7"
"167"	"ch01"	"68839356.51"
"168"	"ch01"	"68851339.86"
"169"	"ch01"	"69459732.91"
"170"	"ch01"	"69468973.28"
"171"	"ch01"	"69608329.53"
"172"	"ch01"	"69618282.95"
"173"	"ch01"	"69628241.39"
"174"	"ch01"	"69638373.09"
"175"	"ch01"	"69678810.84"
"176"	"ch01"	"69688351.36"
"177"	"ch01"	"69697889.8"
"178"	"ch01"	"69716128.72"
"179"	"ch01"	"69725341.4"
"180"	"ch01"	"69924471.09"
"181"	"ch01"	"69935093.8"
"182"	"ch01"	"70086459.7"
"183"	"ch01"	"70097317.08"
"184"	"ch01"	"70129054.07"
"185"	"ch01"	"70139095.71"
"186"	"ch01"	"70149162.59"
"187"	"ch01"	"70442785.18"
"188"	"ch01"	"70450636"
"189"	"ch01"	"70474596.17"
"190"	"ch01"	"70482677.29"
"191"	"ch01"	"70592443.05"
"192"	"ch01"	"70599984"
"193"	"ch01"	"70722034.08"
"194"	"ch01"	"70728360.05"
"195"	"ch01"	"70773320.49"
"196"	"ch01"	"70779820.58"
"197"	"ch01"	"70812881.71"
"198"	"ch01"	"70818141.78"
"199"	"ch01"	"70823329.02"
"200"	"ch01"	"70921015.33"
"201"	"ch01"	"70926034.87"
"202"	"ch01"	"71129617.1"
"203"	"ch01"	"71133658.75"
"204"	"ch01"	"71221015.37"
"205"	"ch01"	"71225506.56"
"206"	"ch01"	"71234790.48"
"207"	"ch01"	"71239582.6"
"208"	"ch01"	"71244378.09"
"209"	"ch01"	"71254680.04"
"210"	"ch01"	"71260004.6"
"211"	"ch01"	"71265348.87"
"212"	"ch01"	"71270696.19"
"213"	"ch01"	"71281320.71"
"214"	"ch01"	"71286625.1"
"215"	"ch01"	"71312753.61"
"216"	"ch01"	"71317878.14"
"217"	"ch01"	"71328481.57"
"218"	"ch01"	"71333781.94"
"219"	"ch01"	"71699178.12"
"220"	"ch01"	"71707741.19"
"221"	"ch01"	"71741989.55"
"222"	"ch01"	"71750571.76"
"223"	"ch01"	"71759149.13"
"224"	"ch01"	"71785049.69"
"225"	"ch01"	"71793764.25"
"226"	"ch01"	"71880303.84"
"227"	"ch01"	"71889015.99"
"228"	"ch01"	"71938524.6"
"229"	"ch01"	"71946318"
"230"	"ch01"	"71954111.43"
"231"	"ch01"	"71984923.07"
"232"	"ch01"	"71992402.78"
"233"	"ch01"	"72157694.21"
"234"	"ch01"	"72164709.52"
"235"	"ch01"	"72414969.57"
"236"	"ch01"	"72419652.44"
"237"	"ch01"	"72930279.52"
"238"	"ch01"	"72936941.45"
"239"	"ch01"	"73020003.44"
"240"	"ch01"	"73025757.83"
"241"	"ch01"	"73060597.44"
"242"	"ch01"	"73066821.58"
"243"	"ch01"	"73350317.51"
"244"	"ch01"	"73355784.53"
"245"	"ch01"	"73483476.14"
"246"	"ch01"	"73490009.81"
"247"	"ch01"	"73658415.85"
"248"	"ch01"	"73664872.27"
"249"	"ch01"	"73682886.86"
"250"	"ch01"	"73688681.77"
"251"	"ch01"	"73782837.72"
"252"	"ch01"	"73788496.21"
"253"	"ch01"	"73799776.8"
"254"	"ch01"	"73805421.87"
"255"	"ch01"	"73856762.07"
"256"	"ch01"	"73861566.48"
"257"	"ch01"	"73974718.03"
"258"	"ch01"	"73978964.55"
"259"	"ch01"	"74131824.83"
"260"	"ch01"	"74136165.21"
"261"	"ch01"	"74204144.95"
"262"	"ch01"	"74208217.54"
"263"	"ch01"	"74267567.53"
"264"	"ch01"	"74271676.19"
"265"	"ch01"	"74396267.78"
"266"	"ch01"	"74400848.43"
"267"	"ch01"	"74450696.69"
"268"	"ch01"	"74455125.87"
"269"	"ch01"	"74702842"
"270"	"ch01"	"74705685.57"
"271"	"ch01"	"74783344.2"
"272"	"ch01"	"74786811.91"
"273"	"ch01"	"74804183.02"
"274"	"ch01"	"74807658.41"
"275"	"ch01"	"74854578.06"
"276"	"ch01"	"74858613.01"
"277"	"ch01"	"74924632.73"
"278"	"ch01"	"74928791.73"
"279"	"ch01"	"74932956"
"280"	"ch01"	"74937120.61"
"281"	"ch01"	"75073712.62"
"282"	"ch01"	"75079224.48"
"283"	"ch01"	"75156535.69"
"284"	"ch01"	"75163755.98"
"285"	"ch01"	"75170982.58"
"286"	"ch01"	"75178329.28"
"287"	"ch01"	"75336260.01"
"288"	"ch01"	"75343011.06"
"289"	"ch01"	"75560723.87"
"290"	"ch01"	"75566763.05"
"291"	"ch01"	"76245658.79"
"292"	"ch01"	"76252385.19"
"293"	"ch01"	"76298771.91"
"294"	"ch01"	"76305329.72"
"295"	"ch01"	"76311889.29"
"296"	"ch01"	"76318457.65"
"297"	"ch01"	"76325956.35"
"298"	"ch01"	"76333527.69"
"299"	"ch01"	"76341099.37"
"300"	"ch01"	"76371810.65"
"301"	"ch01"	"76379598.96"
"302"	"ch01"	"76387386.61"
"303"	"ch01"	"76645801.27"
"304"	"ch01"	"76654891.43"
"305"	"ch01"	"76731384.91"
"306"	"ch01"	"76740174.69"
"307"	"ch01"	"76748998.07"
"308"	"ch01"	"76757848.2"
"309"	"ch01"	"76858564.47"
"310"	"ch01"	"76866458.29"
"311"	"ch01"	"76974273.46"
"312"	"ch01"	"76982024.87"
"313"	"ch01"	"77273362.43"
"314"	"ch01"	"77280236.6"
"315"	"ch01"	"77600283.03"
"316"	"ch01"	"77607016.62"
"317"	"ch01"	"78217578.07"
"318"	"ch01"	"78223267.14"
"319"	"ch01"	"78311554.09"
"320"	"ch01"	"78316688.78"
"321"	"ch01"	"78547005.12"
"322"	"ch01"	"78552222.48"
"323"	"ch01"	"78626982.47"
"324"	"ch01"	"78630646.83"
"325"	"ch01"	"78821960.81"
"326"	"ch01"	"78825231.18"
"327"	"ch01"	"78951146.51"
"328"	"ch01"	"78954429.77"
"329"	"ch01"	"79314268.71"
"330"	"ch01"	"79318572.57"
"331"	"ch01"	"79466985.78"
"332"	"ch01"	"79471396.74"
"333"	"ch01"	"79620776.16"
"334"	"ch01"	"79624789.87"
"335"	"ch01"	"79692383.44"
"336"	"ch01"	"79696822.05"
"337"	"ch01"	"79777828.26"
"338"	"ch01"	"79781869.55"
"339"	"ch01"	"79802676.4"
"340"	"ch01"	"79807266"
"341"	"ch01"	"79811915.65"
"342"	"ch01"	"79816564.3"
"343"	"ch01"	"80011173.26"
"344"	"ch01"	"80015128.08"
"345"	"ch01"	"80082912.48"
"346"	"ch01"	"80086641.77"
"347"	"ch01"	"80109155.81"
"348"	"ch01"	"80113666.32"
"349"	"ch01"	"80118278.63"
"350"	"ch01"	"80122889.38"
"351"	"ch01"	"80434049.13"
"352"	"ch01"	"80438977.2"
"353"	"ch01"	"80487698.57"
"354"	"ch01"	"80492500.1"
"355"	"ch01"	"80704629.37"
"356"	"ch01"	"80707905.2"
"357"	"ch01"	"80721884.38"
"358"	"ch01"	"80724512.35"
"359"	"ch01"	"80891974.64"
"360"	"ch01"	"80895121.41"
"361"	"ch01"	"80898267.96"
"362"	"ch01"	"80901465.4"
"363"	"ch01"	"80998563.15"
"364"	"ch01"	"81002622.44"
"365"	"ch01"	"81191711.47"
"366"	"ch01"	"81196627.93"
"367"	"ch01"	"81231353.38"
"368"	"ch01"	"81235904.43"
"369"	"ch01"	"81609442.81"
"370"	"ch01"	"81612418.85"
"371"	"ch01"	"81615394.79"
"372"	"ch01"	"81618375.46"
"373"	"ch01"	"81867816.73"
"374"	"ch01"	"81871960.42"
"375"	"ch01"	"81946785.7"
"376"	"ch01"	"81951077.09"
"377"	"ch01"	"81989796.51"
"378"	"ch01"	"81994173.87"
"379"	"ch01"	"82434802.87"
"380"	"ch01"	"82438799.31"
"381"	"ch01"	"82970909.41"
"382"	"ch01"	"82975121.93"
"383"	"ch01"	"83063687.59"
"384"	"ch01"	"83068187.87"
"385"	"ch01"	"83388070.21"
"386"	"ch01"	"83392875.5"
"387"	"ch01"	"83397677.8"
"388"	"ch01"	"83402468.6"
"389"	"ch01"	"83407269.79"
"390"	"ch01"	"83412301.2"
"391"	"ch01"	"83422350.03"
"392"	"ch01"	"83427370.91"
"393"	"ch01"	"83489191.17"
"394"	"ch01"	"83494675.4"
"395"	"ch01"	"83636601.11"
"396"	"ch01"	"83641722.48"
"397"	"ch01"	"83656458.76"
"398"	"ch01"	"83661421.19"
"399"	"ch01"	"83671586"
"400"	"ch01"	"83677013.74"
"401"	"ch01"	"83739729.64"
"402"	"ch01"	"83744360.39"
"403"	"ch01"	"83811658.46"
"404"	"ch01"	"83816096.34"
"405"	"ch01"	"84339803.16"
"406"	"ch01"	"84345132.33"
"407"	"ch01"	"84392638.57"
"408"	"ch01"	"84397131.02"
"409"	"ch01"	"84613983.06"
"410"	"ch01"	"84617478.64"
"411"	"ch01"	"84861655.11"
"412"	"ch01"	"84867425.37"
"413"	"ch01"	"85251359.34"
"414"	"ch01"	"85256212.64"
"415"	"ch01"	"85559600.31"
"416"	"ch01"	"85564038"
"417"	"ch01"	"85613964.18"
"418"	"ch01"	"85618747.21"
"419"	"ch01"	"85658158.37"
"420"	"ch01"	"85663131.48"
"421"	"ch01"	"85841906.49"
"422"	"ch01"	"85847431.18"
"423"	"ch01"	"86012468.47"
"424"	"ch01"	"86018468.73"
"425"	"ch01"	"86082515.67"
"426"	"ch01"	"86087987.29"
"427"	"ch01"	"86098990.48"
"428"	"ch01"	"86104913.76"
"429"	"ch01"	"86123132.09"
"430"	"ch01"	"86129106.25"
"431"	"ch01"	"86550376.28"
"432"	"ch01"	"86553921.79"
"433"	"ch01"	"86742229.81"
"434"	"ch01"	"86747120.01"
"435"	"ch01"	"86804906.81"
"436"	"ch01"	"86810503.98"
"437"	"ch01"	"86821415.99"
"438"	"ch01"	"86826868.99"
"439"	"ch01"	"86854116.79"
"440"	"ch01"	"86859454.48"
"441"	"ch01"	"87029012.81"
"442"	"ch01"	"87034277.62"
"443"	"ch01"	"87054808.45"
"444"	"ch01"	"87059951.9"
"445"	"ch01"	"87138800.86"
"446"	"ch01"	"87143728.05"
"447"	"ch01"	"87203142.29"
"448"	"ch01"	"87207888.69"
"449"	"ch01"	"87231540.38"
"450"	"ch01"	"87236100.23"
"451"	"ch01"	"87249702.97"
"452"	"ch01"	"87254477.42"
"453"	"ch01"	"87268783.62"
"454"	"ch01"	"87273515.6"
"455"	"ch01"	"87355620.7"
"456"	"ch01"	"87360156.98"
"457"	"ch01"	"87463868.42"
"458"	"ch01"	"87469271.42"
"459"	"ch01"	"87535310.57"
"460"	"ch01"	"87539798.81"
"461"	"ch01"	"87565509.61"
"462"	"ch01"	"87569733.9"
"463"	"ch01"	"87657338.05"
"464"	"ch01"	"87662585"
"465"	"ch01"	"87667827.26"
"466"	"ch01"	"87673092.25"
"467"	"ch01"	"88069802.59"
"468"	"ch01"	"88076677.18"
"469"	"ch01"	"88083614.84"
"470"	"ch01"	"88090551.34"
"471"	"ch01"	"88097462.07"
"472"	"ch01"	"88300369.77"
"473"	"ch01"	"88307257.95"
"474"	"ch01"	"88550634.57"
"475"	"ch01"	"88556364.58"
"476"	"ch01"	"88669051.36"
"477"	"ch01"	"88673364.24"
"478"	"ch01"	"88702858.43"
"479"	"ch01"	"88706835.31"
"480"	"ch01"	"88997201.61"
"481"	"ch01"	"89001541.96"
"482"	"ch01"	"89019074.69"
"483"	"ch01"	"89023554.81"
"484"	"ch01"	"89066620.14"
"485"	"ch01"	"89072636"
"486"	"ch01"	"89292774.84"
"487"	"ch01"	"89297877.01"
"488"	"ch01"	"89302964.93"
"489"	"ch01"	"89308028.37"
"490"	"ch01"	"89335001.64"
"491"	"ch01"	"89340784.81"
"492"	"ch01"	"89535195.97"
"493"	"ch01"	"89541684.7"
"494"	"ch01"	"89615693.67"
"495"	"ch01"	"89620931.9"
"496"	"ch01"	"89625901.78"
"497"	"ch01"	"89640848.74"
"498"	"ch01"	"89645914.59"
"499"	"ch01"	"90006377.15"
"500"	"ch01"	"90010291.93"
"501"	"ch01"	"90014167.42"
"502"	"ch01"	"90332521.49"
"503"	"ch01"	"90337083.86"
"504"	"ch01"	"90429612.12"
"505"	"ch01"	"90434844.9"
"506"	"ch01"	"90489194.41"
"507"	"ch02"	"5820304.43"
"508"	"ch02"	"13365592.62"
"509"	"ch02"	"13493988.11"
"510"	"ch02"	"16596644.01"
"511"	"ch02"	"16713134.95"
"512"	"ch02"	"30870525.59"
"513"	"ch02"	"30896220.14"
"514"	"ch02"	"32057674.75"
"515"	"ch02"	"32067010.09"
"516"	"ch02"	"32076343.92"
"517"	"ch02"	"32085676"
"518"	"ch02"	"32094995.42"
"519"	"ch02"	"32980190.68"
"520"	"ch02"	"32991674.47"
"521"	"ch02"	"33003158.03"
"522"	"ch02"	"33207077.6"
"523"	"ch02"	"33219449.89"
"524"	"ch02"	"33231842.88"
"525"	"ch02"	"33269466.72"
"526"	"ch02"	"33282175.96"
"527"	"ch02"	"33307452.93"
"528"	"ch02"	"33320089.98"
"529"	"ch02"	"33358415.5"
"530"	"ch02"	"33372018.77"
"531"	"ch02"	"33418347.14"
"532"	"ch02"	"33429137.78"
"533"	"ch02"	"33506191.05"
"534"	"ch02"	"33519624.02"
"535"	"ch02"	"33722057.81"
"536"	"ch02"	"33734864.86"
"537"	"ch02"	"33992266.6"
"538"	"ch02"	"34003937.6"
"539"	"ch02"	"34098342.45"
"540"	"ch02"	"34107860.51"
"541"	"ch02"	"34136423.36"
"542"	"ch02"	"34145783.95"
"543"	"ch02"	"34155091.37"
"544"	"ch02"	"34164995.96"
"545"	"ch02"	"34173801.5"
"546"	"ch02"	"34182608.54"
"547"	"ch02"	"34548336.31"
"548"	"ch02"	"34553920.18"
"549"	"ch02"	"34679204.97"
"550"	"ch02"	"34684671.94"
"551"	"ch02"	"34765570.69"
"552"	"ch02"	"34772890.91"
"553"	"ch02"	"34997919.36"
"554"	"ch02"	"35004376.59"
"555"	"ch02"	"35152839.38"
"556"	"ch02"	"35158805.55"
"557"	"ch02"	"35176678.15"
"558"	"ch02"	"35182629.26"
"559"	"ch02"	"35213104.58"
"560"	"ch02"	"35219329.37"
"561"	"ch02"	"35273982.88"
"562"	"ch02"	"35280526.55"
"563"	"ch02"	"35419691.39"
"564"	"ch02"	"35424700.83"
"565"	"ch02"	"35444721.54"
"566"	"ch02"	"35449828.19"
"567"	"ch02"	"35508781.08"
"568"	"ch02"	"35513769.35"
"569"	"ch02"	"35538689.39"
"570"	"ch02"	"35543667.12"
"571"	"ch02"	"35849504.87"
"572"	"ch02"	"35855333.32"
"573"	"ch02"	"35902275.35"
"574"	"ch02"	"35908088.81"
"575"	"ch02"	"35925008.02"
"576"	"ch02"	"35930492.33"
"577"	"ch02"	"36129324.56"
"578"	"ch02"	"36134950.31"
"579"	"ch02"	"36367014.04"
"580"	"ch02"	"36373019.51"
"581"	"ch02"	"36598417.69"
"582"	"ch02"	"36607261.64"
"583"	"ch02"	"36734264.34"
"584"	"ch02"	"36742315.49"
"585"	"ch02"	"36878197.9"
"586"	"ch02"	"36885734.18"
"587"	"ch02"	"36945465.83"
"588"	"ch02"	"36952790.13"
"589"	"ch02"	"37024285.02"
"590"	"ch02"	"37031409.36"
"591"	"ch02"	"37306057.33"
"592"	"ch02"	"37310920.7"
"593"	"ch02"	"37406176.16"
"594"	"ch02"	"37411098.52"
"595"	"ch02"	"37485183.37"
"596"	"ch02"	"37489721.36"
"597"	"ch02"	"37494235.81"
"598"	"ch02"	"37498752.52"
"599"	"ch02"	"37517517.58"
"600"	"ch02"	"37522250.6"
"601"	"ch02"	"37537054.38"
"602"	"ch02"	"37542207.68"
"603"	"ch02"	"37575128.79"
"604"	"ch02"	"37580741.52"
"605"	"ch02"	"37905437.57"
"606"	"ch02"	"37910423.26"
"607"	"ch02"	"37940636.69"
"608"	"ch02"	"37946111.33"
"609"	"ch02"	"38039541.37"
"610"	"ch02"	"38045003.63"
"611"	"ch02"	"38200412.27"
"612"	"ch02"	"38204695.85"
"613"	"ch02"	"38247238.64"
"614"	"ch02"	"38251042.24"
"615"	"ch02"	"38552419.97"
"616"	"ch02"	"38556948.11"
"617"	"ch02"	"38852627.86"
"618"	"ch02"	"38858449.52"
"619"	"ch02"	"38890536.79"
"620"	"ch02"	"38897097.97"
"621"	"ch02"	"38958338.47"
"622"	"ch02"	"38964204.02"
"623"	"ch02"	"38970054.3"
"624"	"ch02"	"38975899.95"
"625"	"ch02"	"38981863.51"
"626"	"ch02"	"38987932.84"
"627"	"ch02"	"39055515.68"
"628"	"ch02"	"39061767.61"
"629"	"ch02"	"39105267.17"
"630"	"ch02"	"39111525.48"
"631"	"ch02"	"39631878.61"
"632"	"ch02"	"39636658.25"
"633"	"ch02"	"39646636.56"
"634"	"ch02"	"39651706.64"
"635"	"ch02"	"39732530.43"
"636"	"ch02"	"39738795.2"
"637"	"ch02"	"40027601.97"
"638"	"ch02"	"40033928.73"
"639"	"ch02"	"40092459.84"
"640"	"ch02"	"40098866.93"
"641"	"ch02"	"40105275.52"
"642"	"ch02"	"40225511.77"
"643"	"ch02"	"40231492.57"
"644"	"ch02"	"40585665.63"
"645"	"ch02"	"40589288.13"
"646"	"ch02"	"40608019.19"
"647"	"ch02"	"40612079.71"
"648"	"ch02"	"40663068.83"
"649"	"ch02"	"40667702.03"
"650"	"ch02"	"40832542.45"
"651"	"ch02"	"40836548.52"
"652"	"ch02"	"41025320.04"
"653"	"ch02"	"41028085.24"
"654"	"ch02"	"41063451.66"
"655"	"ch02"	"41066456.93"
"656"	"ch02"	"41072428.1"
"657"	"ch02"	"41075408.31"
"658"	"ch02"	"41078490.85"
"659"	"ch02"	"41081582.8"
"660"	"ch02"	"41084693.09"
"661"	"ch02"	"41089167.28"
"662"	"ch02"	"41098138.94"
"663"	"ch02"	"41102628.37"
"664"	"ch02"	"41296117.65"
"665"	"ch02"	"41301030.53"
"666"	"ch02"	"41316171.46"
"667"	"ch02"	"41321375"
"668"	"ch02"	"41382195.52"
"669"	"ch02"	"41387876.76"
"670"	"ch02"	"41393560.66"
"671"	"ch02"	"41399244.53"
"672"	"ch02"	"41404931.21"
"673"	"ch02"	"41635575.67"
"674"	"ch02"	"41641128.94"
"675"	"ch02"	"42066424.91"
"676"	"ch02"	"42075240"
"677"	"ch02"	"42164065.55"
"678"	"ch02"	"42173130.91"
"679"	"ch02"	"42615890.28"
"680"	"ch02"	"42623240.59"
"681"	"ch02"	"42652854.87"
"682"	"ch02"	"42660499.94"
"683"	"ch02"	"42721500.77"
"684"	"ch02"	"42729122.9"
"685"	"ch02"	"42864817.71"
"686"	"ch02"	"42869971.93"
"687"	"ch02"	"42965373.48"
"688"	"ch02"	"42970957.04"
"689"	"ch02"	"42976236.83"
"690"	"ch02"	"43021309.51"
"691"	"ch02"	"43027008.65"
"692"	"ch02"	"43195479.16"
"693"	"ch02"	"43201105.35"
"694"	"ch02"	"43206819.91"
"695"	"ch02"	"43212534.48"
"696"	"ch02"	"43334374.83"
"697"	"ch02"	"43340363.37"
"698"	"ch02"	"43678841.88"
"699"	"ch02"	"43682185.33"
"700"	"ch02"	"43685590.48"
"701"	"ch02"	"43688910.68"
"702"	"ch02"	"43910085.23"
"703"	"ch02"	"43914393.26"
"704"	"ch02"	"44112123.83"
"705"	"ch02"	"44117092.96"
"706"	"ch02"	"44222073.34"
"707"	"ch02"	"44227190.4"
"708"	"ch02"	"44383603.05"
"709"	"ch02"	"44388372.62"
"710"	"ch02"	"44392792.9"
"711"	"ch02"	"44397259.33"
"712"	"ch02"	"44429849.9"
"713"	"ch02"	"44434572.5"
"714"	"ch02"	"44458166.06"
"715"	"ch02"	"44463173.13"
"716"	"ch02"	"44487825.16"
"717"	"ch02"	"44492613.71"
"718"	"ch02"	"44561172.79"
"719"	"ch02"	"44564723.12"
"720"	"ch02"	"44568287.26"
"721"	"ch02"	"44591337.09"
"722"	"ch02"	"44595308.45"
"723"	"ch02"	"44599327.03"
"724"	"ch02"	"44603355.34"
"725"	"ch02"	"44607208.69"
"726"	"ch02"	"44641028.65"
"727"	"ch02"	"44644299.59"
"728"	"ch02"	"44692314.61"
"729"	"ch02"	"44695499.74"
"730"	"ch02"	"44767947.96"
"731"	"ch02"	"44771304.15"
"732"	"ch02"	"44774724.87"
"733"	"ch02"	"44777935.66"
"734"	"ch02"	"44787340.26"
"735"	"ch02"	"44790562.45"
"736"	"ch02"	"44793835.73"
"737"	"ch02"	"44797108.68"
"738"	"ch02"	"44878029.03"
"739"	"ch02"	"44881984.37"
"740"	"ch02"	"44901738.15"
"741"	"ch02"	"44905855.95"
"742"	"ch02"	"44934306.32"
"743"	"ch02"	"44938570.82"
"744"	"ch02"	"44946969.15"
"745"	"ch02"	"44951178.58"
"746"	"ch02"	"44989877.96"
"747"	"ch02"	"44994184.36"
"748"	"ch02"	"45007097.31"
"749"	"ch02"	"45011574.38"
"750"	"ch02"	"45017392.68"
"751"	"ch02"	"45023212.6"
"752"	"ch02"	"45035154.61"
"753"	"ch02"	"45041192.83"
"754"	"ch02"	"45081568.14"
"755"	"ch02"	"45088524.89"
"756"	"ch02"	"45342544.69"
"757"	"ch02"	"45349383.39"
"758"	"ch02"	"45363336.62"
"759"	"ch02"	"45370441.54"
"760"	"ch02"	"45377377.38"
"761"	"ch02"	"45384313.93"
"762"	"ch02"	"45391961.18"
"763"	"ch02"	"45768260.91"
"764"	"ch02"	"45775802.2"
"765"	"ch02"	"45797598.24"
"766"	"ch02"	"45804608.43"
"767"	"ch02"	"45981366.61"
"768"	"ch02"	"45987615.02"
"769"	"ch02"	"46060325.56"
